"Item","Plat","Status"
"Venari Bodyguard","14","Online"
"Retrieve","14","Online"
"Stockpiled Blight","14","Online"
"Cold Arrival","14","Online"
"Decurion Receiver","14","Online"
"Meso O3 Radiant","14","Offline"
"Perfect Balance","14","Online"
"Calm & Frenzy","14","Online"
"Target Fixation","14","Online"
"Nitro Boost","14","Online"
"Empowered Quiver","14","Online"
"Swing Line","14","Online"
"Infiltrate","14","Online"
"Requiem IV Radiant","14","Online"
"Mending Splinters","14","Online"
"Corvas Barrel","14","Online"
"Elemental Sandstorm","14","Online"
"Seeking Shuriken","14","Online"
"Greedy Pull","14","Online"
"Venerdo Hoverdrive","14","Online"
"Trail Blazer","14","Online"
"Shocking Speed","14","Online"
"Prolonged Paralysis","14","Online"
"Neo N3 Radiant","14","Offline"
"Lasting Purity","14","Online"
"Virtuos Surge","14","Online"
"Meso R1 Radiant","14","Online"
"Corrupt Charge","14","Online"
"Marked Target","14","Online"
"Pacifying Bolts","14","Online"
"Enveloping Cloud","14","Online"
"Swift Momentum","14","Online"
"Conductor","14","Online"
"Jet Stream","14","Online"
"Armored Recovery","14","Offline"
"Axi O4 Radiant","14","Offline"
"Axi G2 Intact","14","Online"
"Counter Pulse","14","Online"
"Spectrosiphon","14","Online"
"Exposing Harpoon","14","Online"
"Deadly Efficiency","14","Online"
"Akvasto Prime Link","14","Online"
"Dethcube Prime Cerebrum","14","Online"
"Poppin' Vert","14","Online"
"Night Stalker","14","Offline"
"Gilded Truth","14","Online"
"Requiem III Radiant","14","Online"
"Rail Guards","14","Online"
"Meso N6 Radiant","14","Offline"
"Kinetic Friction","14","Online"
"Rime Rounds","14","Online"
"Surging Dash","14","Online"
"Pop Top","14","Online"
"Rubico Prime Blueprint","14","Online"
"Rifle Amp","14","Online"
"Axi N5 Radiant","14","Offline"
"Axi H2 Intact","14","Offline"
"Axi T1 Intact","14","Online"
"Flame Gland","14","Online"
"Grineer Forest Water Pump Scene","14","Online"
"Blood Rush","14","Online"
"Healing Flame","14","Online"
"Sharpened Blade","14","Offline"
"Whiplash Mine","14","Offline"
"Tesla Bank","14","Online"
"Neo S12 Radiant","14","Offline"
"Bright Purity","14","Online"
"Assimilate","14","Online"
"Gun Glide","14","Online"
"Partitioned Mallet","14","Online"
"Fracturing Crush","14","Online"
"Vigilante Offense","14","Online"
"Chaos Sphere","14","Online"
"Serrated Edges","14","Offline"
"Haven","14","Online"
"Ablative Shell (Zetki)","14","Online"
"Lith A1 Exceptional","14","Offline"
"Axi B3 Intact","14","Online"
"Meso M3 Radiant","14","Offline"
"Grendel Chassis Locator","14","Offline"
"Mind Freak","14","Online"
"Neo S3 Intact","14","Online"
"Kogake Prime Gauntlet","14","Online"
"Hunhow's Datascape Scene","14","Offline"
"Axi V7 Exceptional","14","Offline"
"Shield of Shadows","14","Online"
"Pilfering Swarm","14","Online"
"Enemy Radar","14","Online"
"Lith H1 Radiant","14","Offline"
"Karak Wraith Barrel","14","Online"
"Lith T1 Radiant","14","Offline"
"Arbiter's Tribunal Scene","14","Offline"
"Scindo Prime Blade","14","Online"
"Resonating Quake","14","Online"
"Abating Link","14","Online"
"Lith N3 Intact","14","Online"
"Neo E1 Radiant","14","Offline"
"Hallowed Eruption","14","Online"
"Speed Drift","14","Online"
"Axi G1 Intact","14","Online"
"Latron Wraith Stock","14","Online"
"Razorwing Blitz","14","Online"
"Itzal Harness","14","Online"
"Path of Statues","14","Online"
"Contagion Cloud","14","Online"
"Neo L1 Radiant","14","Offline"
"Odonata Prime Harness","14","Online"
"Destreza Prime Blade","14","Online"
"Magnetized Discharge","14","Online"
"Forward Artillery (Zetki)","14","Online"
"Lith V3 Radiant","14","Offline"
"Axi V5 Intact","14","Offline"
"Crushing Ruin","14","Online"
"Virtuos Spike","14","Online"
"Titanic Rumbler","14","Online"
"Pool of Life","14","Online"
"Pyrana Prime Set","14","Online"
"Virtuos Trojan","14","Online"
"Dread Ward","14","Online"
"Tempo Royale","14","Online"
"Savage Silence","14","Online"
"Capacitance","14","Online"
"Teeming Virulence","14","Online"
"Smoke Shadow","14","Online"
"Karak Wraith Receiver","14","Online"
"Kronen Prime Blade","14","Online"
"Wise Razor","14","Online"
"Explosive Legerdemain","14","Online"
"Meso D1 Radiant","14","Offline"
"Spira Prime Blade","14","Online"
"Cryo Coating","14","Online"
"Mad Stack","14","Online"
"Transistor Shield","14","Online"
"Ion Infusion","14","Online"
"Escape Velocity","14","Online"
"Meso E1 Intact","14","Offline"
"Tek Enhance","14","Online"
"Soul Survivor","14","Online"
"Disarming Purity","14","Online"
"Sonic Boost","14","Online"
"Desiccation's Curse","14","Online"
"Stradavar Prime Stock","14","Online"
"Axi V6 Intact","14","Online"
"Sunika Kubrow Imprint","14","Online"
"Heat Sink (Zetki)","14","Online"
"Tek Assault","14","Online"
"Nami Skyla Prime Blade","14","Online"
"Molecular Fission","14","Online"
"Counterweight","14","Offline"
"Impenetrable Offense","14","Offline"
"Sheev Heatsink","14","Online"
"Meso G1 Radiant","14","Offline"
"Beguiling Lantern","14","Online"
"Slay Board","14","Online"
"Vasto Prime Barrel","14","Online"
"Concentrated Arrow","14","Online"
"Blade of Truth","13","Online"
"Chroma Prime Neuroptics","13","Online"
"Limbo Prime Neuroptics","13","Online"
"Phaedra Receiver","13","Online"
"Quasar Drill","13","Online"
"Extreme Velocity","13","Online"
"Magus Revert","13","Online"
"Cataclysmic Continuum","13","Online"
"Axi L2 Radiant","13","Offline"
"Strun Wraith Barrel","13","Online"
"Soft Hands","13","Online"
"Cephalon Suda Augment Mod","13","Online"
"Rift Torrent","13","Online"
"Odonata Prime Blueprint","13","Online"
"Winged Force (Vidar)","13","Online"
"Eternal War","13","Online"
"Voltage Sequence","13","Online"
"Runtime","13","Online"
"Snipetron Vandal Barrel","13","Online"
"Centaur Handle","13","Online"
"Onorix Blade","13","Online"
"Dakra Prime Blade","13","Online"
"Stalking Fan","13","Online"
"Ivara Prime Neuroptics","13","Online"
"Lith T2 Radiant","13","Offline"
"Centaur Blade","13","Online"
"Fluctus Barrel","13","Online"
"Untraceable","13","Online"
"LOHK","13","Online"
"Avenging Truth","13","Online"
"Winged Storm (Vidar)","13","Online"
"Anode Cell (Zetki)","13","Online"
"Neo B5 Radiant","13","Offline"
"Bladed Rounds","13","Online"
"Piercing Navigator","13","Online"
"Shepherd","13","Online"
"Lith N2 Radiant","13","Offline"
"Magus Repair","13","Online"
"Mantis Fuselage","13","Online"
"Shield Disruption","13","Online"
"Axi L5 Radiant","13","Offline"
"Trinity Prime Systems","13","Online"
"Rathbone Head","13","Online"
"Ankyros Prime Gauntlet","13","Online"
"Ironclad Charge","13","Online"
"Axi A2 Intact","13","Online"
"Lith B3 Radiant","13","Offline"
"Axi K5 Radiant","13","Offline"
"Mesa Prime Neuroptics","13","Online"
"Magus Firewall","13","Online"
"Rising Storm","13","Online"
"New Loka Augment Mod","13","Online"
"Arbiters of Hexis Augment Mod","13","Online"
"Hysterical Assault","13","Online"
"Soma Prime Barrel","13","Online"
"The Perrin Sequence Augment Mod","13","Online"
"Axi A5 Radiant","13","Offline"
"Venom Dose","13","Online"
"Raksa Kubrow Imprint","13","Online"
"Equilibrium","13","Online"
"Deadly Sequence","13","Online"
"Lith B4 Radiant","13","Offline"
"Rift Haven","13","Online"
"RIS","12","Online"
"Berserker","12","Online"
"Guided Effigy","12","Online"
"Funnel Clouds","12","Online"
"Ninkondi Prime Handle","12","Online"
"Corroding Barrage","12","Online"
"Fatal Teleport","12","Online"
"Everlasting Ward","12","Online"
"Lith M1 Intact","12","Online"
"KHRA","12","Online"
"Hall of Malevolence","12","Online"
"Meso V2 Intact","12","Online"
"Neo N1 Intact","12","Online"
"Saryn Prime Blueprint","12","Online"
"Vampire Leech","12","Online"
"Axi N1 Intact","12","Offline"
"Lith M4 Radiant","12","Online"
"Sheev Blueprint","12","Online"
"Axi C4 Radiant","12","Offline"
"Sequence Burn","12","Offline"
"Phaedra Stock","12","Online"
"Pilfering Strangledome","12","Online"
"Scattering Inferno","12","Online"
"Investigator","12","Online"
"Adarza Kavat Imprint","12","Online"
"Lasting Covenant","12","Online"
"Neo O1 Intact","12","Buying"
"Axi N2 Intact","12","Online"
"Rathbone Handle","12","Online"
"Lith B2 Radiant","12","Offline"
"Strun Wraith Receiver","12","Online"
"Velocitus Barrel","12","Online"
"Axi S1 Intact","12","Offline"
"Decurion Barrel","12","Online"
"Tidal Impunity","12","Online"
"Zephyr Prime Systems","12","Online"
"Anasa Ayatan Sculpture","12","Online"
"Neo N3 Intact","12","Online"
"Soma Prime Receiver","11","Online"
"Zhuge Prime Barrel","11","Online"
"Axi A9 Intact","11","Online"
"Neo F1 Intact","11","Offline"
"Winds of Purity","11","Online"
"Exothermic","11","Online"
"Reaping Chakram","11","Online"
"Axi S4 Radiant","11","Offline"
"Tipedo Prime Handle","11","Online"
"Calculated Shot","11","Offline"
"Twin Vipers Wraith Blueprint","11","Online"
"Buzz Kill","11","Online"
"Total Eclipse","11","Online"
"Entropy Burst","11","Online"
"Fireball Frenzy","11","Online"
"Hushed Invisibility","11","Online"
"Neo A1 Intact","11","Online"
"Chromatic Blade","11","Online"
"Lith V6 Radiant","11","Offline"
"Cyngas Receiver","11","Online"
"Duality","11","Online"
"Combustion Rounds","11","Online"
"Lith G1 Radiant","11","Online"
"Arcane Fury","11","Online"
"Warding Thurible","11","Online"
"Larva Burst","11","Online"
"Latron Wraith Barrel","11","Online"
"Axi N3 Radiant","11","Offline"
"Meso F2 Intact","11","Offline"
"Cyngas Barrel","11","Online"
"Ore Gaze","11","Online"
"Pyroclastic Flow","10","Online"
"Neo G2 Exceptional","10","Offline"
"Stinging Truth","10","Offline"
"Meso M3 Flawless","10","Offline"
"Fang Prime Set","10","Online"
"Lith C3 Radiant","10","Offline"
"Accumulating Whipclaw","10","Online"
"Frost Prime Chassis","10","Online"
"True Punishment","10","Online"
"Axi A6 Exceptional","10","Offline"
"Neo D1 Intact","10","Offline"
"Blazing Steel","10","Online"
"Meso N3 Exceptional","10","Buying"
"Blinding Reave","10","Online"
"Radiant Finish","10","Online"
"Expel Corrupted","10","Online"
"Corvas Stock","10","Online"
"Valkyr Prime Systems","10","Online"
"Onorix Handle","10","Online"
"JAHU","10","Online"
"Velocitus Receiver","9","Online"
"Hikou Prime Stars","9","Online"
"Nightwatch Napalm","9","Online"
"Warhead (Lavan)","9","Online"
"Gleaming Talon","9","Online"
"Afterburn","9","Online"
"Sure Footed","9","Online"
"Ice Wave Impedance","9","Online"
"Kaszas Blade","9","Online"
"Orthos Prime Set","9","Online"
"Shockwave Actuators","9","Offline"
"Agkuza Blade","9","Online"
"Immolated Radiance","9","Online"
"Velocitus Stock","9","Online"
"Safeguard","9","Online"
"Spry Sights","9","Online"
"Cleanse Corrupted","9","Online"
"Latron Wraith Receiver","9","Online"
"Agkuza Handle","9","Online"
"Vauban Prime Chassis","9","Online"
"Meso V4 Intact","9","Offline"
"Fluctus Limbs","9","Online"
"Vauban Prime Blueprint","9","Online"
"Lith C2 Radiant","9","Offline"
"Chilling Globe","9","Online"
"Volcanic Edge","9","Online"
"Reinforcing Stomp","9","Online"
"Fluctus Stock","9","Online"
"Snap Shot","9","Online"
"Twin Vipers Wraith Link","9","Online"
"Focus Energy","9","Online"
"Ankyros Prime Blade","9","Online"
"Guided Ordnance","9","Online"
"Meso N5 Radiant","9","Offline"
"Vicious Frost","9","Online"
"Swooping Falcon","9","Online"
"Silva & Aegis Prime Blade","9","Online"
"Nikana Prime Blade","9","Online"
"Sheev Hilt","9","Online"
"Smite Infusion","9","Online"
"Sheev Blade","9","Online"
"Sonic Fracture","9","Online"
"Kaszas Handle","9","Online"
"Constitution","9","Online"
"Phasic Weave (Lavan)","9","Online"
"Snipetron Vandal Receiver","9","Online"
"Mesa?s Waltz","9","Online"
"Quickening","9","Online"
"Neo S7 Radiant","9","Offline"
"Eroding Blight","9","Online"
"Lith C1 Radiant","9","Offline"
"Neo V4 Intact","9","Online"
"Healing Return","9","Online"
"Axi E1 Intact","9","Online"
"Axi E1 Radiant","9","Online"
"Neo N6 Intact","9","Online"
"Regenerative Molt","9","Online"
"Warhead (Vidar)","9","Online"
"Resonance","9","Online"
"Carrier Prime Cerebrum","9","Online"
"Aklex Prime Blueprint","9","Online"
"Boltor Prime Barrel","9","Online"
"Exodia Hunt","9","Online"
"Vulcan Blitz","9","Online"
"Corvas Receiver","9","Online"
"Lith B1 Intact","9","Offline"
"Hydroid Prime Blueprint","9","Online"
"Virulent Scourge","9","Online"
"System Reroute","9","Online"
"Karak Wraith Blueprint","9","Online"
"Hydraulic Chamber","9","Online"
"Madurai Lens","9","Online"
"Ion Burn (Zetki)","9","Online"
"Lex Prime Receiver","9","Online"
"Draining Gloom","9","Online"
"Akbronco Prime Set","9","Online"
"Neo N7 Intact","9","Online"
"Phoenix Renewal","9","Online"
"Iron Shrapnel","9","Online"
"Lith N1 Intact","9","Offline"
"Lith S6 Intact","9","Online"
"Akbolto Prime Receiver","9","Online"
"Steel Meridian Augment Mod","9","Online"
"Agile Aim","9","Online"
"Exodia Might","9","Online"
"Antimatter Absorb","9","Online"
"Red Veil Augment Mod","9","Online"
"Arc Coil","9","Online"
"Justice Blades","9","Online"
"Grineer Forest Factory Scene","9","Online"
"Vazarin Transmute Core","9","Online"
"Axi A2 Radiant","9","Online"
"Double Tap","9","Online"
"Neo B2 Radiant","9","Offline"
"Lith N3 Radiant","9","Offline"
"Axi V2 Intact","9","Offline"
"Meso V3 Intact","9","Offline"
"Naramon Transmute Core","9","Online"
"Meso V5 Intact","9","Offline"
"Meso N9 Radiant","9","Offline"
"Aksomati Prime Blueprint","9","Online"
"Neo Z4 Radiant","9","Offline"
"Meso O2 Radiant","9","Offline"
"Rending Crane","9","Online"
"Baza Prime Receiver","9","Online"
"Freeze Force","9","Online"
"Meso T2 Radiant","9","Offline"
"Axi N6 Radiant","9","Offline"
"Air Time","9","Online"
"Mag Locks","9","Online"
"Infectious Injection","9","Online"
"Lith V5 Radiant","9","Offline"
"Lith B1 Radiant","9","Offline"
"Meso P1 Radiant","9","Offline"
"Meso L1 Radiant","9","Offline"
"Magus Melt","9","Online"
"Meso M2 Radiant","9","Offline"
"Axi A8 Intact","9","Online"
"Energy Siphon","9","Online"
"Neo Z5 Intact","9","Online"
"Expel Corpus","9","Online"
"Neo A2 Radiant","9","Offline"
"Axi R2 Radiant","9","Offline"
"Meso D3 Radiant","9","Offline"
"Axi C3 Radiant","9","Offline"
"Dual Kamas Prime Handle","9","Online"
"Axi S5 Intact","9","Online"
"Madurai Transmute Core","9","Online"
"Curative Undertow","9","Online"
"Axi S3 Radiant","9","Offline"
"Strain Consume","9","Online"
"Meso N6 Intact","9","Online"
"Neo S10 Intact","9","Online"
"Zaw Riven Mod (Veiled)","9","Online"
"NETRA","9","Online"
"FASS","9","Online"
"Axi O1 Intact","9","Offline"
"Insatiable","9","Online"
"Tractor Beam","9","Offline"
"Snipetron Vandal Stock","9","Online"
"Vigorous Swap","9","Online"
"Neo R2 Radiant","9","Offline"
"Meso N1 Intact","9","Online"
"Scattered Justice","9","Online"
"Meso N7 Radiant","9","Online"
"High Noon","9","Online"
"Neutron Star","9","Online"
"Efficient Beams","9","Online"
"Tiberon Prime Barrel","9","Online"
"Bursting Mass","9","Online"
"Muzzle Flash","9","Online"
"Rolling Guard","9","Online"
"Requiem II Radiant","9","Online"
"Ambush Optics (Rubico)","9","Online"
"Agkuza Guard","9","Online"
"Bore","9","Online"
"Lith L1 Radiant","9","Online"
"Meso K2 Radiant","9","Offline"
"Neo A4 Radiant","9","Offline"
"Dakra Prime Handle","9","Online"
"Wukong Prime Blueprint","9","Online"
"Laser Sight","9","Online"
"Gorgon Wraith Set","9","Online"
"Axi S2 Intact","9","Offline"
"Equinox Prime Blueprint","9","Online"
"Dethcube Prime Blueprint","9","Online"
"Bronco Prime Set","9","Online"
"Pyrana Prime Blueprint","9","Online"
"Hallowed Reckoning","9","Online"
"Tekko Prime Gauntlet","9","Online"
"Meso N9 Exceptional","9","Offline"
"Meso B4 Radiant","9","Offline"
"Lith P2 Radiant","9","Offline"
"Meso D4 Radiant","9","Offline"
"Lith M3 Radiant","9","Offline"
"Lith A3 Radiant","9","Online"
"Celestial Stomp","9","Online"
"Vexing Retaliation","9","Online"
"Synth Reflex","9","Online"
"Sicarus Prime Barrel","9","Online"
"Imperator Vandal Barrel","9","Online"
"Eject Magazine","9","Online"
"Neo N9 Intact","9","Online"
"Tiberon Prime Stock","9","Online"
"Mortal Conduct","9","Online"
"Pax Soar","9","Online"
"Axi H1 Intact","9","Offline"
"Akjagara Prime Barrel","9","Online"
"Lith O2 Intact","9","Offline"
"Neo Z1 Radiant","9","Offline"
"Axi L3 Radiant","9","Offline"
"Lith V7 Radiant","9","Offline"
"Axi A8 Radiant","9","Offline"
"Wyrm Prime Cerebrum","9","Online"
"Neo I1 Radiant","9","Online"
"VOME","8","Online"
"Rifle Scavenger","8","Online"
"Akstiletto Prime Barrel","8","Online"
"Hollowed Bullets","8","Online"
"Overview","8","Online"
"Dethcube Prime Systems","8","Online"
"Hunter's Bonesaw","8","Online"
"Auger Strike","8","Online"
"Squad Renew","8","Online"
"Gleaming Blight","8","Online"
"Mag Prime Chassis","8","Online"
"Paris Prime Set","8","Online"
"Lethal Torrent","8","Online"
"Fomorian Accelerant","8","Online"
"Nami Skyla Prime Handle","8","Online"
"Imperator Vandal Blueprint","8","Online"
"Zhuge Prime Receiver","8","Online"
"Ballistica Prime Blueprint","8","Online"
"Venom Teeth","8","Online"
"Arcane Avenger","8","Online"
"Entropy Spike","8","Offline"
"Arcane Tanker","8","Online"
"Pathocyst Blueprint","8","Online"
"Link Health","8","Online"
"Despoil","8","Online"
"Kavasa Prime Collar Band","8","Online"
"Fanged Fusillade","8","Online"
"Axi P1 Intact","8","Offline"
"Magnum Force","8","Online"
"Virtuos Ghost","8","Online"
"Boltor Prime Stock","8","Online"
"Lith W1 Radiant","8","Offline"
"Neo V3 Intact","8","Online"
"Magus Lockdown","8","Online"
"Arcane Phantasm","8","Online"
"Rift Strike","8","Online"
"Winged Force (Zetki)","8","Online"
"Last Stand (Vidar)","8","Online"
"Rage","8","Online"
"Thermite Rounds","8","Online"
"Winged Steel (Vidar)","8","Online"
"Neo E1 Intact","8","Offline"
"Nova Prime Blueprint","8","Online"
"Carrier Prime Carapace","8","Online"
"Auxiliary Power","8","Online"
"Vigor","8","Online"
"Vile Acceleration","8","Online"
"Meso Z1 Radiant","8","Offline"
"Lith H2 Radiant","8","Offline"
"Neo M1 Radiant","8","Offline"
"Targeting Subsystem","8","Online"
"Mag Prime Neuroptics","8","Online"
"Latron Prime Receiver","8","Online"
"Lith V2 Intact","8","Online"
"Phasic Weave (Zetki)","8","Online"
"Axi O4 Intact","8","Offline"
"Napalm Grenades","8","Online"
"Electromagnetic Shielding","8","Online"
"Winged Steel (Lavan)","8","Online"
"Hyperstrike (Lavan)","8","Online"
"Sweeping Serration","8","Online"
"Thermatic (Vidar)","8","Online"
"Neo V7 Intact","8","Online"
"Glaive Prime Blade","8","Online"
"Twin Vipers Wraith Receivers","8","Online"
"Hunter Munitions","8","Online"
"Loki Prime Blueprint","8","Online"
"Gladiator Finesse","8","Online"
"Meso C4 Intact","8","Online"
"Mecha Overdrive","8","Online"
"Zenurik Lens","8","Online"
"Thermatic (Zetki)","8","Online"
"Lith V3 Intact","8","Online"
"Lith B4 Intact","8","Online"
"Lith F1 Intact","8","Online"
"XATA","8","Online"
"Toxic Blight","8","Offline"
"Lith S2 Intact","8","Online"
"Mag Prime Systems","8","Online"
"Akstiletto Prime Receiver","8","Online"
"Four Riders","8","Online"
"Bo Prime Handle","8","Online"
"Hyperflux (Vidar)","8","Online"
"Ash Prime Chassis","8","Online"
"Vermillion Storm","8","Online"
"Pistol Scavenger","8","Online"
"Axi H3 Intact","8","Offline"
"Magus Replenish","8","Online"
"Maxima (Lavan)","8","Online"
"Enduring Strike","8","Online"
"Neo S5 Intact","8","Online"
"Frigid Blast","8","Online"
"Lith S5 Intact","8","Online"
"Neo B4 Intact","8","Online"
"Live Wire","8","Online"
"Neo T2 Intact","7","Online"
"Stradavar Prime Blueprint","7","Online"
"Meso B4 Intact","7","Online"
"Axi G2 Radiant","7","Online"
"Efficient Transferral","7","Online"
"Winged Cyclone (Vidar)","7","Online"
"Harkonar Scope","7","Online"
"Axi A7 Radiant","7","Offline"
"Axi R2 Intact","7","Online"
"Axi A6 Intact","7","Online"
"Axi T2 Intact","7","Online"
"Neo N10 Intact","7","Online"
"Section Density (Lavan)","7","Online"
"Snipetron Vandal Blueprint","7","Online"
"Void Cloak","7","Online"
"Arch-Gun Ace","7","Online"
"Thermatic (Lavan)","7","Online"
"Axi K1 Intact","7","Offline"
"Akstiletto Prime Blueprint","7","Online"
"Axi H4 Intact","7","Offline"
"Anemic Agility","7","Online"
"Requiem III Flawless","7","Offline"
"Maim","7","Online"
"Focused Defense","7","Online"
"Burston Prime Set","7","Online"
"Neo I1 Intact","7","Online"
"Winged Steel (Zetki)","7","Online"
"Braton Prime Set","7","Online"
"Heat Sink (Lavan)","7","Online"
"Atlas Prime Chassis","7","Online"
"Axi D2 Intact","7","Offline"
"Neo S13 Radiant","7","Offline"
"Braton Vandal Receiver","7","Online"
"Exodia Epidemic","7","Online"
"Axi C1 Intact","7","Offline"
"Mirage Prime Systems","7","Online"
"Furax Wraith Right Gauntlet","7","Online"
"Rhino Prime Systems","7","Online"
"Decisive Judgement","7","Online"
"Ruinous Extension","7","Online"
"Breach Loader","7","Online"
"Virtuos Strike","7","Online"
"Vectis Prime Barrel","7","Online"
"Axi O2 Intact","7","Offline"
"Neo S2 Radiant","7","Offline"
"Quick Thinking","7","Online"
"Magus Cadence","7","Online"
"Malignant Force","7","Online"
"Frost Prime Neuroptics","7","Online"
"Meso B1 Intact","7","Online"
"Link Armor","7","Online"
"Vicious Spread","7","Online"
"Modified Munitions","7","Online"
"Nyx Prime Chassis","7","Online"
"Oberon Prime Neuroptics","7","Online"
"Latron Wraith Blueprint","7","Online"
"Coolant Leak","7","Online"
"Nova Prime Systems","7","Online"
"Meso N3 Radiant","7","Buying"
"Dual Kamas Prime Blueprint","7","Online"
"Malicious Raptor","7","Online"
"Stinging Thorn","7","Online"
"Exodia Force","7","Online"
"Wyrm Prime Blueprint","7","Online"
"Dera Vandal Stock","7","Online"
"Nyx Prime Systems","7","Online"
"Lex Prime Set","7","Online"
"Dera Vandal Receiver","7","Online"
"Cunning Drift","7","Online"
"Continuity","7","Online"
"Scorch","7","Online"
"Latron Prime Barrel","7","Online"
"Pistol Riven Mod (Veiled)","7","Online"
"Irradiating Disarm","7","Online"
"Axi C4 Intact","6","Online"
"Ion Burn (Vidar)","6","Offline"
"Fragor Prime Handle","6","Online"
"Hydroid Prime Neuroptics","6","Online"
"Link Shields","6","Online"
"Neo N2 Intact","6","Offline"
"Automatic Trigger","6","Online"
"Lith S1 Intact","6","Online"
"Axi P2 Intact","6","Online"
"Axi G2 Flawless","6","Offline"
"Lith O1 Exceptional","6","Offline"
"Bulkhead (Lavan)","6","Online"
"Crimson Dervish","6","Online"
"Meso N3 Intact","6","Offline"
"Magus Nourish","6","Online"
"Meso Z1 Exceptional","6","Offline"
"Conic Nozzle (Lavan)","6","Online"
"Neo B1 Intact","6","Offline"
"Forward Artillery (Vidar)","6","Online"
"Ballistica Prime String","6","Online"
"Maul","6","Online"
"Stand United","6","Online"
"Galvanized Blade","6","Online"
"Bo Prime Blueprint","6","Online"
"Stalk","6","Online"
"Pathocyst Subcortex","6","Online"
"Ammo Chain","6","Online"
"Gladiator Resolve","6","Online"
"Hull Weave (Vidar)","6","Online"
"Meso S8 Flawless","6","Offline"
"Fetch","6","Online"
"Synth Deconstruct","6","Online"
"Glaive Prime Disc","6","Online"
"Euphona Prime Barrel","6","Online"
"Helios Prime Systems","6","Online"
"Kitgun Riven Mod (Veiled)","6","Online"
"Lith V5 Exceptional","6","Offline"
"Shattering Storm","6","Online"
"Magus Elevate","6","Online"
"Infested Impedance","6","Online"
"Sicarus Prime Blueprint","6","Online"
"Kronen Prime Handle","6","Online"
"Silent Battery","6","Online"
"Nekros Prime Chassis","6","Online"
"Proton Snap","6","Online"
"Boar Prime Barrel","6","Online"
"Axi L3 Intact","6","Online"
"Dera Vandal Barrel","6","Online"
"Meso O3 Exceptional","6","Buying"
"Nova Prime Neuroptics","6","Online"
"Embedded Catalyzer","6","Online"
"Silva & Aegis Prime Blueprint","6","Online"
"Axi S3 Intact","6","Online"
"Meso S7 Exceptional","6","Offline"
"Lith V4 Intact","5","Online"
"Trample","5","Online"
"Venomous Clip","5","Online"
"Vigilante Armaments","5","Online"
"Pax Bolt","5","Online"
"Meso B2 Intact","5","Online"
"Neo S6 Intact","5","Offline"
"Furax Wraith Left Gauntlet","5","Online"
"Baza Prime Barrel","5","Online"
"Target Cracker","5","Online"
"Axi V6 Radiant","5","Offline"
"Pax Charge","5","Online"
"Lith V2 Radiant","5","Offline"
"Poisonous Sting","5","Online"
"Neo O1 Radiant","5","Buying"
"Neo A4 Intact","5","Online"
"Neo M2 Radiant","5","Offline"
"Frostbite","5","Online"
"Hyperion Thrusters","5","Online"
"Carrier Prime Systems","5","Online"
"Carrier Prime Blueprint","5","Online"
"Axi V1 Flawless","5","Buying"
"Akstiletto Prime Link","5","Online"
"Meso B3 Intact","5","Online"
"Scindo Prime Handle","5","Online"
"Arcane Acceleration","5","Online"
"Lith O2 Flawless","5","Buying"
"Anti-Grav Grenade","5","Buying"
"Lith A2 Radiant","5","Offline"
"Ripload (Zetki)","5","Online"
"Axi V2 Radiant","5","Buying"
"Ballistica Prime Receiver","5","Online"
"Wukong Prime Chassis","5","Online"
"Virtuos Tempo","5","Online"
"Comet Blast","5","Online"
"Axi A1 Intact","5","Offline"
"Lith P1 Exceptional","5","Offline"
"Ash Prime Neuroptics","5","Online"
"Ammo Drum","5","Online"
"Axi L2 Intact","5","Online"
"Odonata Prime Systems","5","Online"
"Tiberon Prime Receiver","5","Online"
"Last Stand (Lavan)","5","Online"
"Axi B1 Intact","5","Buying"
"Zhuge Prime String","4","Online"
"Zhuge Prime Blueprint","4","Online"
"Lith D1 Exceptional","4","Offline"
"Axi R1 Exceptional","4","Buying"
"Axi K4 Intact","4","Offline"
"Axi N6 Intact","4","Offline"
"Lith D1 Intact","4","Online"
"Ninkondi Prime Blueprint","4","Online"
"Neo T2 Flawless","4","Offline"
"Axi A4 Intact","4","Online"
"Lith D1 Flawless","4","Offline"
"Axi P2 Radiant","4","Offline"
"Arcane Primary Charger","4","Online"
"Resolute Focus","4","Online"
"Magus Husk","4","Online"
"Meso D3 Intact","4","Online"
"Deck 12 Scene","4","Online"
"Toxic Barrage","4","Online"
"Carving Mantis","4","Online"
"Meso P1 Intact","4","Online"
"Motus Setup","4","Online"
"Hunt","4","Online"
"Lith C5 Intact","4","Online"
"Braton Vandal Barrel","4","Online"
"Combat Discipline","4","Online"
"Gas City Central Drop Scene","4","Online"
"Gas City Cloud Vista Scene","4","Online"
"Arcane Pistoleer","4","Online"
"Arcane Blade Charger","4","Online"
"Lith H2 Intact","4","Online"
"Axi D1 Radiant","4","Offline"
"Glacial Edge","4","Online"
"Lith W1 Intact","4","Online"
"Gas City Upper Logistics Scene","4","Online"
"Gas City Dead Exit Scene","4","Online"
"Gas City Walkway Scene","4","Online"
"Arcane Bodyguard","4","Online"
"Axi L5 Intact","4","Online"
"Arcane Strike","4","Online"
"Meso A2 Flawless","4","Offline"
"Repair Kit","4","Online"
"Whirlwind","4","Online"
"Meso W1 Intact","4","Online"
"Kogake Prime Blueprint","4","Online"
"Dethcube Prime Carapace","4","Online"
